Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Rangverlust Plattform-FG
P4PRRRR7V1G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3
P4PRRRR7V1G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
P4PRRRR7V1G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
P4PRRRR7V1G4P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3
