Name;Aktuierung Bein 1;;;;Aktuierung Bein 2;;;;Aktuierung Bein 3;;;;Rangverlust Plattform-FG
P3PRRR4G1P1A1;1;0;0;0;1;0;0;0;1;0;0;0;0
P3PRRR4G1P2A1;1;0;0;0;1;0;0;0;1;0;0;0;0
P3PRRR4G1P3A1;1;0;0;0;1;0;0;0;1;0;0;0;0
P3PRRR4G2P2A1;1;0;0;0;1;0;0;0;1;0;0;0;0
P3PRRR4G2P3A1;1;0;0;0;1;0;0;0;1;0;0;0;0
