Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich theta1
P3PRRRR7G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;a
P3PRRRR7G1P9A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR7G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;a
P3PRRRR7G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;a
P3PRRRR7G3P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;p
P3PRRRR7G4P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;o
P3PRRRR7G4P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;o
P3PRRRR7G4P9A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
