Name;Beinkette;EE-FG (Basis-KS);;;;;
;;vx0;vy0;vz0;wx0;wy0;wz0
P4PRRRR1G3P1;S5PRRRR1;1;1;1;0;0;1
P4PRRRR6G3P1;S5PRRRR6;1;1;1;0;0;1
P4RPRRR5G4P3;S5RPRRR5;1;1;1;0;0;1
P4RPRRR5G2P2;S5RPRRR5;1;1;1;0;0;1
P4RPRRR8G3P1;S5RPRRR8;1;1;1;0;0;1
P4RRPRR3G2P2;S5RRPRR3;1;1;1;0;0;1
P4RRPRR4G4P3;S5RRPRR4;1;1;1;0;0;1
P4RRPRR4G2P2;S5RRPRR4;1;1;1;0;0;1
P4RRPRR5G4P3;S5RRPRR5;1;1;1;0;0;1
P4RRPRR5G2P2;S5RRPRR5;1;1;1;0;0;1
P4PRRRR2G2P1;S5PRRRR2;1;1;1;0;0;1
P4PRRRR2G1P2;S5PRRRR2;1;1;1;0;0;1
P4PRRRR2G1P3;S5PRRRR2;1;1;1;0;0;1
P4PRRRR3G1P2;S5PRRRR3;1;1;1;0;0;1
P4PRRRR3G2P3;S5PRRRR3;1;1;1;0;0;1
P4PRRRR3G3P3;S5PRRRR3;1;1;1;0;0;1
P4PRRRR4G1P2;S5PRRRR4;1;1;1;0;0;1
P4PRRRR4G2P3;S5PRRRR4;1;1;1;0;0;1
P4PRRRR4G3P3;S5PRRRR4;1;1;1;0;0;1
P4PRRRR6G3P2;S5PRRRR6;1;1;1;0;0;1
P4PRRRR6G1P3;S5PRRRR6;1;1;1;0;0;1
P4PRRRR6G2P3;S5PRRRR6;1;1;1;0;0;1
P4PRRRR7G3P2;S5PRRRR7;1;1;1;0;0;1
P4PRRRR7G1P3;S5PRRRR7;1;1;1;0;0;1
P4PRRRR8G1P3;S5PRRRR8;1;1;1;0;0;1
P4PRRRR8G2P3;S5PRRRR8;1;1;1;0;0;1
P4PRRRR8G3P3;S5PRRRR8;1;1;1;0;0;1
P4PRRRR9G1P3;S5PRRRR9;1;1;1;0;0;1
P4PRRRR10G1P3;S5PRRRR10;1;1;1;0;0;1
P4RPRRR2G1P1;S5RPRRR2;1;1;1;0;0;1
P4RPRRR2G1P2;S5RPRRR2;1;1;1;0;0;1
P4RPRRR2G2P3;S5RPRRR2;1;1;1;0;0;1
P4RPRRR2G3P3;S5RPRRR2;1;1;1;0;0;1
P4RPRRR4G3P3;S5RPRRR4;1;1;1;0;0;1
P4RPRRR5G2P1;S5RPRRR5;1;1;1;0;0;1
P4RPRRR5G3P3;S5RPRRR5;1;1;1;0;0;1
P4RPRRR6G1P1;S5RPRRR6;1;1;1;0;0;1
P4RPRRR7G1P1;S5RPRRR7;1;1;1;0;0;1
P4RPRRR8G2P1;S5RPRRR8;1;1;1;0;0;1
P4RPRRR8G1P2;S5RPRRR8;1;1;1;0;0;1
P4RPRRR8G1P3;S5RPRRR8;1;1;1;0;0;1
P4RPRRR9G1P1;S5RPRRR9;1;1;1;0;0;1
P4RPRRR12G1P1;S5RPRRR12;1;1;1;0;0;1
P4RPRRR14G1P1;S5RPRRR14;1;1;1;0;0;1
P4RRPRR2G1P2;S5RRPRR2;1;1;1;0;0;1
P4RRPRR2G2P3;S5RRPRR2;1;1;1;0;0;1
P4RRPRR2G3P3;S5RRPRR2;1;1;1;0;0;1
P4RRPRR3G2P1;S5RRPRR3;1;1;1;0;0;1
P4RRPRR3G3P3;S5RRPRR3;1;1;1;0;0;1
P4RRPRR3G4P3;S5RRPRR3;1;1;1;0;0;1
P4RRPRR4G2P1;S5RRPRR4;1;1;1;0;0;1
P4RRPRR4G3P3;S5RRPRR4;1;1;1;0;0;1
P4RRPRR5G2P1;S5RRPRR5;1;1;1;0;0;1
P4RRPRR5G3P3;S5RRPRR5;1;1;1;0;0;1
P4RRPRR6G2P1;S5RRPRR6;1;1;1;0;0;1
P4RRPRR6G3P3;S5RRPRR6;1;1;1;0;0;1
P4RRPRR7G2P1;S5RRPRR7;1;1;1;0;0;1
P4RRPRR7G3P1;S5RRPRR7;1;1;1;0;0;1
P4RRPRR7G1P2;S5RRPRR7;1;1;1;0;0;1
P4RRPRR7G1P3;S5RRPRR7;1;1;1;0;0;1
P4RRPRR8G1P1;S5RRPRR8;1;1;1;0;0;1
P4RRPRR10G1P1;S5RRPRR10;1;1;1;0;0;1
P4RRPRR12G1P1;S5RRPRR12;1;1;1;0;0;1
P4RRPRR13G1P1;S5RRPRR13;1;1;1;0;0;1
P4RRRRR1G1P1;S5RRRRR1;1;1;1;0;0;1
P4RRRRR2G1P1;S5RRRRR2;1;1;1;0;0;1
P4RRRRR3G1P1;S5RRRRR3;1;1;1;0;0;1
P4RRRRR5G2P1;S5RRRRR5;1;1;1;0;0;1
P4RRRRR5G2P2;S5RRRRR5;1;1;1;0;0;1
P4RRRRR5G3P3;S5RRRRR5;1;1;1;0;0;1
P4RRRRR5G4P3;S5RRRRR5;1;1;1;0;0;1
P4RRRRR6G2P1;S5RRRRR6;1;1;1;0;0;1
P4RRRRR6G2P2;S5RRRRR6;1;1;1;0;0;1
P4RRRRR6G3P3;S5RRRRR6;1;1;1;0;0;1
P4RRRRR6G4P3;S5RRRRR6;1;1;1;0;0;1
P4RRRRR7G1P1;S5RRRRR7;1;1;1;0;0;1
P4RRRRR8G1P1;S5RRRRR8;1;1;1;0;0;1
P4RRRRR10G1P1;S5RRRRR10;1;1;1;0;0;1
P4RPRR1G1P1;S4RPRR1;1;1;1;0;0;1
P4RRPR1G1P1;S4RRPR1;1;1;1;0;0;1
P4PRRRR3G1P1;S5PRRRR3;1;1;1;0;0;1
P4PRRRR4G1P1;S5PRRRR4;1;1;1;0;0;1
P4PRRRR8G1P1;S5PRRRR8;1;1;1;0;0;1
P4PRRR1G1P1;S4PRRR1;1;1;1;0;0;1
P4RRRRR5G1P3;S5RRRRR5;1;1;1;0;0;1
P4RRRRR6G1P3;S5RRRRR6;1;1;1;0;0;1
P4PRRRR6G2P2;S5PRRRR6;1;1;1;0;0;1
P4PRRRR1G2P3;S5PRRRR1;1;1;1;0;0;1
P4PRRRR8G1P2;S5PRRRR8;1;1;1;0;0;1
P4PRRRR8G2P2;S5PRRRR8;1;1;1;0;0;1
P4RRPRR2G1P1;S5RRPRR2;1;1;1;0;0;1
P4RPRRR4G1P3;S5RPRRR4;1;1;1;0;0;1
P4RPRRR5G1P3;S5RPRRR5;1;1;1;0;0;1
P4RRPRR3G1P3;S5RRPRR3;1;1;1;0;0;1
P4RRPRR4G1P3;S5RRPRR4;1;1;1;0;0;1
P4RRPRR5G1P3;S5RRPRR5;1;1;1;0;0;1
P4RRPRR6G1P3;S5RRPRR6;1;1;1;0;0;1
P4PRRRR6G2P1;S5PRRRR6;1;1;1;0;0;1
P4RPRRR4G2P1;S5RPRRR4;1;1;1;0;0;1
P4RPRRR4G2P2;S5RPRRR4;1;1;1;0;0;1
P4RRPRR6G2P2;S5RRPRR6;1;1;1;0;0;1
P4PRRRR7G3P1;S5PRRRR7;1;1;1;0;0;1
