Name;Aktuierung Bein 1;;;;;;Aktuierung Bein 2;;;;;;Aktuierung Bein 3;;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RRPRRR14V2G1P1A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaaa
P3RRPRRR14V2G1P1A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aaaa
P3RRPRRR14V2G2P1A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaaa
P3RRPRRR14V2G2P1A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aaaa
P3RRPRRR14V2G3P1A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaaa
P3RRPRRR14V2G3P1A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aaaa
P3RRPRRR14V2G4P1A1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaaa
P3RRPRRR14V2G4P1A2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;aaaa
