Name;Aktuierung Bein 1;;;;Aktuierung Bein 2;;;;Aktuierung Bein 3;;;;Rangverlust Plattform-FG;Wertebereich Winkel1
P3PRRR2G2P3A1;1;0;0;0;1;0;0;0;1;0;0;0;1;
P3PRRR2G3P1A1;1;0;0;0;1;0;0;0;1;0;0;0;2;
P3PRRR2G4P7A1;1;0;0;0;1;0;0;0;1;0;0;0;0;
