Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich Winkel1
P3PRRRR8V2G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3PRRRR8V2G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;90
P3PRRRR8V2G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
P3PRRRR8V2G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3PRRRR8V2G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3PRRRR8V2G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3PRRRR8V2G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3PRRRR8V2G3P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3PRRRR8V2G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3PRRRR8V2G4P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;90
