Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich theta1
P3PRRRR6V1G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;a
P3PRRRR6V1G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;p
P3PRRRR6V1G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6V1G1P9A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6V1G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;p
P3PRRRR6V1G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;a
P3PRRRR6V1G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6V1G2P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6V1G2P9A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;a
P3PRRRR6V1G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6V1G3P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;p
P3PRRRR6V1G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;a
P3PRRRR6V1G3P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;p
P3PRRRR6V1G3P9A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6V1G4P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;a
P3PRRRR6V1G4P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;p
P3PRRRR6V1G4P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6V1G4P9A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6V1G9P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;p
P3PRRRR6V1G9P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6V1G9P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6V1G9P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
