Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich alpha2,theta3
P3RRPRR10V1G1P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;2;pa
P3RRPRR10V1G2P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;pa
P3RRPRR10V1G3P3A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;pa
