Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Rangverlust Plattform-FG;Wertebereich theta3
P4RRPRR3V1G1P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;a
P4RRPRR3V1G2P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;3;a
P4RRPRR3V1G2P3A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;3;a
