Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P4RRPRR6G1P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;o
P4RRPRR6G1P3A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;o
P4RRPRR6G1P8A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;o
P4RRPRR6G2P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;o
P4RRPRR6G3P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;o
P4RRPRR6G4P9A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P4RRPRR6G9P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;o
