Name;Beinkette;EE-FG (Basis-KS);;;;;
;;vx0;vy0;vz0;wx0;wy0;wz0
P3PPR1G1P1;S3PPR1;1;1;0;0;0;1
P3PRP1G1P1;S3PRP1;1;1;0;0;0;1
P3PRR1G1P1;S3PRR1;1;1;0;0;0;1
P3PRRR1G1P1;S4PRRR1;1;1;1;0;0;0
P3PRRR1G2P2;S4PRRR1;1;1;1;0;0;0
P3PRRR1G3P3;S4PRRR1;1;1;1;0;0;0
P3PRRR2G2P3;S4PRRR2;1;1;1;0;0;0
P3PRRR2G3P1;S4PRRR2;1;1;1;0;0;0
P3PRRRR1G1P3;S5PRRRR1;1;1;1;0;0;0
P3PRRRR1G2P3;S5PRRRR1;1;1;1;0;0;0
P3PRRRR1G3P1;S5PRRRR1;1;1;1;0;0;0
P3PRRRR2G1P2;S5PRRRR2;1;1;1;0;0;0
P3PRRRR2G1P3;S5PRRRR2;1;1;1;0;0;0
P3PRRRR2G2P1;S5PRRRR2;1;1;1;0;0;0
P3PRRRR2G2P3;S5PRRRR2;1;1;1;0;0;0
P3PRRRR2G3P1;S5PRRRR2;1;1;1;0;0;0
P3PRRRR2G3P2;S5PRRRR2;1;1;1;0;0;0
P3PRRRR2G4P2;S5PRRRR2;1;1;1;0;0;0
P3PRRRR2V1G1P2;S5PRRRR2V1;1;1;1;0;0;0
P3PRRRR2V1G1P3;S5PRRRR2V1;1;1;1;0;0;0
P3PRRRR2V1G2P3;S5PRRRR2V1;1;1;1;0;0;0
P3PRRRR2V1G3P2;S5PRRRR2V1;1;1;1;0;0;0
P3PRRRR3G1P2;S5PRRRR3;1;1;1;0;0;0
P3PRRRR3G1P3;S5PRRRR3;1;1;1;0;0;0
P3PRRRR3G2P1;S5PRRRR3;1;1;1;0;0;0
P3PRRRR3G2P3;S5PRRRR3;1;1;1;0;0;0
P3PRRRR3G3P1;S5PRRRR3;1;1;1;0;0;0
P3PRRRR3G3P2;S5PRRRR3;1;1;1;0;0;0
P3PRRRR3G4P2;S5PRRRR3;1;1;1;0;0;0
P3PRRRR3G4P3;S5PRRRR3;1;1;1;0;0;0
P3PRRRR3V1G1P2;S5PRRRR3V1;1;1;1;0;0;0
P3PRRRR3V1G1P3;S5PRRRR3V1;1;1;1;0;0;0
P3PRRRR3V1G2P3;S5PRRRR3V1;1;1;1;0;0;0
P3PRRRR3V1G3P2;S5PRRRR3V1;1;1;1;0;0;0
P3PRRRR4G1P2;S5PRRRR4;1;1;1;0;0;0
P3PRRRR4G1P3;S5PRRRR4;1;1;1;0;0;0
P3PRRRR4G2P1;S5PRRRR4;1;1;1;0;0;0
P3PRRRR4G2P3;S5PRRRR4;1;1;1;0;0;0
P3PRRRR4G3P1;S5PRRRR4;1;1;1;0;0;0
P3PRRRR4G3P2;S5PRRRR4;1;1;1;0;0;0
P3PRRRR4G4P2;S5PRRRR4;1;1;1;0;0;0
P3PRRRR4V1G1P2;S5PRRRR4V1;1;1;1;0;0;0
P3PRRRR4V1G1P3;S5PRRRR4V1;1;1;1;0;0;0
P3PRRRR4V1G2P3;S5PRRRR4V1;1;1;1;0;0;0
P3PRRRR4V1G3P2;S5PRRRR4V1;1;1;1;0;0;0
P3PRRRR6G1P1;S5PRRRR6;1;1;1;0;0;0
P3PRRRR6G1P2;S5PRRRR6;1;1;1;0;0;0
P3PRRRR6G1P3;S5PRRRR6;1;1;1;0;0;0
P3PRRRR6G2P1;S5PRRRR6;1;1;1;0;0;0
