Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RRRRR5G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G1P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G1P2A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G1P2A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;
P3RRRRR5G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G1P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G1P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G1P3A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;
P3RRRRR5G1P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR5G1P8A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;
P3RRRRR5G1P8A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;
P3RRRRR5G1P8A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;
P3RRRRR5G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G2P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G2P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G2P1A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;
P3RRRRR5G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G2P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G2P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G2P3A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;
P3RRRRR5G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G3P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G3P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G3P1A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;
P3RRRRR5G3P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G3P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G3P2A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G3P2A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;
P3RRRRR5G4P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G4P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G4P2A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G4P2A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR5G9P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G9P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G9P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G9P1A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;
P3RRRRR5G9P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G9P8A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G9P8A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G9P8A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;
