Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P4RRRRP1V2G1P2A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;
P4RRRRP1V2G1P3A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;
P4RRRRP1V2G1P8A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2;
P4RRRRP1V2G2P1A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;3;
P4RRRRP1V2G3P1A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;3;
P4RRRRP1V2G9P1A1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;3;
