Beinkette;Anzahl_Beinketten;G_Methode;P_Methode;Status;Anzahl_Akt
S3PPP1;3;1;1;1;0
S3PPP1;3;1;2;1;0
S3PPP1;3;1;3;1;0
S3PPP1;3;1;8;1;0
S3PPP1;3;2;1;1;0
S3PPP1;3;2;2;1;0
S3PPP1;3;2;3;1;0
S3PPP1;3;2;8;1;0
S3PPP1;3;3;1;1;0
S3PPP1;3;3;2;1;0
S3PPP1;3;3;3;1;0
S3PPP1;3;3;8;1;0
S3PPP1;3;4;1;1;0
S3PPP1;3;4;2;1;0
S3PPP1;3;4;3;1;0
S3PPP1;3;4;8;1;0
S3PPP1;3;9;1;1;0
S3PPP1;3;9;2;1;0
S3PPP1;3;9;3;1;0
S3PPP1;3;9;8;1;0
S4PPPR1;3;1;1;1;0
S4PPPR1;3;1;2;1;0
S4PPPR1;3;1;3;1;0
S4PPPR1;3;1;8;1;0
S4PPPR1;3;2;1;1;0
S4PPPR1;3;2;2;1;0
S4PPPR1;3;2;3;1;0
S4PPPR1;3;2;8;1;0
S4PPPR1;3;3;1;1;0
S4PPPR1;3;3;2;1;0
S4PPPR1;3;3;3;1;0
S4PPPR1;3;3;8;1;0
S4PPPR1;3;4;1;1;0
S4PPPR1;3;4;2;1;0
S4PPPR1;3;4;3;1;0
S4PPPR1;3;4;8;1;0
S4PPPR1;3;9;1;1;0
S4PPPR1;3;9;2;1;0
S4PPPR1;3;9;3;1;0
S4PPPR1;3;9;8;1;0
S4PPPR2;3;1;1;1;0
S4PPPR2;3;1;2;1;0
S4PPPR2;3;1;3;1;0
S4PPPR2;3;1;8;1;0
S4PPPR2;3;2;1;1;0
S4PPPR2;3;2;2;1;0
S4PPPR2;3;2;3;1;0
S4PPPR2;3;2;8;1;0
S4PPPR2;3;3;1;1;0
S4PPPR2;3;3;2;1;0
S4PPPR2;3;3;3;1;0
S4PPPR2;3;3;8;1;0
S4PPPR2;3;4;1;1;0
S4PPPR2;3;4;2;1;0
S4PPPR2;3;4;3;1;0
S4PPPR2;3;4;8;1;0
S4PPPR2;3;9;1;1;0
S4PPPR2;3;9;2;1;0
S4PPPR2;3;9;3;1;0
S4PPPR2;3;9;8;1;0
S4PPPR3;3;1;1;1;0
S4PPPR3;3;1;2;1;0
S4PPPR3;3;1;3;1;0
S4PPPR3;3;1;8;1;0
S4PPPR3;3;2;1;1;0
S4PPPR3;3;2;2;1;0
S4PPPR3;3;2;3;1;0
S4PPPR3;3;2;8;1;0
S4PPPR3;3;3;1;1;0
S4PPPR3;3;3;2;1;0
S4PPPR3;3;3;3;1;0
S4PPPR3;3;3;8;1;0
S4PPPR3;3;4;1;1;0
S4PPPR3;3;4;2;1;0
S4PPPR3;3;4;3;1;0
S4PPPR3;3;4;8;1;0
S4PPPR3;3;9;1;1;0
S4PPPR3;3;9;2;1;0
S4PPPR3;3;9;3;1;0
S4PPPR3;3;9;8;1;0
S4PPRP1;3;1;1;1;0
S4PPRP1;3;1;2;1;0
S4PPRP1;3;1;3;1;0
S4PPRP1;3;1;8;1;0
S4PPRP1;3;2;1;1;0
S4PPRP1;3;2;2;1;0
S4PPRP1;3;2;3;1;0
S4PPRP1;3;2;8;1;0
S4PPRP1;3;3;1;1;0
S4PPRP1;3;3;2;1;0
S4PPRP1;3;3;3;1;0
S4PPRP1;3;3;8;1;0
S4PPRP1;3;4;1;1;0
S4PPRP1;3;4;2;1;0
S4PPRP1;3;4;3;1;0
S4PPRP1;3;4;8;1;0
S4PPRP1;3;9;1;1;0
S4PPRP1;3;9;2;1;0
S4PPRP1;3;9;3;1;0
S4PPRP1;3;9;8;1;0
S4PPRP2;3;1;1;1;0
S4PPRP2;3;1;2;1;0
S4PPRP2;3;1;3;1;0
S4PPRP2;3;1;8;1;0
S4PPRP2;3;2;1;1;0
S4PPRP2;3;2;2;1;0
S4PPRP2;3;2;3;1;0
S4PPRP2;3;2;8;1;0
S4PPRP2;3;3;1;1;0
S4PPRP2;3;3;2;1;0
S4PPRP2;3;3;3;1;0
S4PPRP2;3;3;8;1;0
S4PPRP2;3;4;1;1;0
