Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG
P3PRRRR10G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR10G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR10G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR10G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR10G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR10G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
P3PRRRR10G3P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
P3PRRRR10G4P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR10G4P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR10G4P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
