Name;Beinkette;Gelenkgruppen
P6PRRRRR1G1P2;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G1P3;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G1P5;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G1P6;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G2P1;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G2P3;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G2P4;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G2P6;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G3P1;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G3P2;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G3P4;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G3P5;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G4P1;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G4P2;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G4P3;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G4P4;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G4P5;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G4P6;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G5P2;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G5P3;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G5P5;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G5P6;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G6P1;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G6P3;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G6P4;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G6P6;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G7P1;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G7P2;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G7P4;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G7P5;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G8P1;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G8P2;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G8P3;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G8P4;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G8P5;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1G8P6;S6PRRRRR1;1-2-3-3-3-4
P6PRRRRR1V2G1P2;S6PRRRRR1V2;1-2-3-3-3-4
P6PRRRRR1V2G1P3;S6PRRRRR1V2;1-2-3-3-3-4
P6PRRRRR1V2G1P5;S6PRRRRR1V2;1-2-3-3-3-4
P6PRRRRR1V2G1P6;S6PRRRRR1V2;1-2-3-3-3-4
P6PRRRRR1V2G1P8;S6PRRRRR1V2;1-2-3-3-3-4
