Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RRPRR6G1P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;o
P3RRPRR6G1P3A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;o
P3RRPRR6G1P8A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;o
P3RRPRR6G1P9A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR6G2P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;o
P3RRPRR6G2P3A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;o
P3RRPRR6G2P9A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;o
P3RRPRR6G3P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;o
P3RRPRR6G3P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;o
P3RRPRR6G4P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;o
P3RRPRR6G4P9A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR6G9P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;o
P3RRPRR6G9P8A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;o
