Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Rangverlust Plattform-FG
P4RRRRR6G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2
P4RRRRR6G1P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2
P4RRRRR6G1P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
P4RRRRR6G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2
P4RRRRR6G1P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2
P4RRRRR6G1P2A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
P4RRRRR6G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
P4RRRRR6G2P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2
P4RRRRR6G2P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
P4RRRRR6G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
P4RRRRR6G2P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2
P4RRRRR6G2P2A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
P4RRRRR6G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3
P4RRRRR6G3P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;3
P4RRRRR6G3P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
P4RRRRR6G4P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3
P4RRRRR6G4P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;3
P4RRRRR6G4P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
