Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Rangverlust Plattform-FG;Wertebereich theta2
P4RPRRR4G1P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P4RPRRR4G2P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;3;a
P4RPRRR4G2P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;3;a
P4RPRRR4G2P8A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;3;a
P4RPRRR4G3P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P4RPRRR4G4P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P4RPRRR4G9P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;3;a
P4RPRRR4G9P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;3;a
P4RPRRR4G9P8A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;3;a
