Name;Beinkette;EE-FG (Basis-KS);;;;;
;;vx0;vy0;vz0;wx0;wy0;wz0
P6PRRRRR1G1P2;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G1P3;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G1P5;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G1P6;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G2P1;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G2P3;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G2P4;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G2P6;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G3P1;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G3P2;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G3P4;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G3P5;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G4P1;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G4P2;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G4P3;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G4P4;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G4P5;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G4P6;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G5P2;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G5P3;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G5P5;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G5P6;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G6P1;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G6P3;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G6P4;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G6P6;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G7P1;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G7P2;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G7P4;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G7P5;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G8P1;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G8P2;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G8P3;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G8P4;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G8P5;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR1G8P6;S6PRRRRR1;1;1;1;1;1;1
P6PRRRRR2G1P1;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G1P2;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G1P3;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G1P4;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G1P5;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G1P6;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G2P1;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G2P2;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G2P3;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G2P4;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G2P5;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G2P6;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G3P1;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G3P2;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G3P3;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G3P4;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G3P5;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G3P6;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G4P1;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G4P2;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G4P3;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G4P4;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G4P5;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G4P6;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G5P1;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G5P2;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G5P3;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G5P4;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G5P5;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G5P6;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G6P1;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G6P2;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G6P3;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G6P4;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G6P5;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G6P6;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G7P1;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G7P2;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G7P3;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G7P4;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G7P5;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G7P6;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G8P1;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G8P2;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G8P3;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G8P4;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G8P5;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR2G8P6;S6PRRRRR2;1;1;1;1;1;1
P6PRRRRR3G1P1;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G1P4;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G2P2;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G2P5;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G3P3;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G3P6;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G4P1;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G4P3;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G4P4;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G4P6;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G5P1;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G5P4;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G6P2;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G6P5;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G7P3;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G7P6;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G8P1;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G8P3;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G8P4;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR3G8P6;S6PRRRRR3;1;1;1;1;1;1
P6PRRRRR4G1P1;S6PRRRRR4;1;1;1;1;1;1
P6PRRRRR4G1P2;S6PRRRRR4;1;1;1;1;1;1
P6PRRRRR4G1P3;S6PRRRRR4;1;1;1;1;1;1
P6PRRRRR4G1P4;S6PRRRRR4;1;1;1;1;1;1
P6PRRRRR4G1P5;S6PRRRRR4;1;1;1;1;1;1
P6PRRRRR4G1P6;S6PRRRRR4;1;1;1;1;1;1
P6PRRRRR4G2P1;S6PRRRRR4;1;1;1;1;1;1
P6PRRRRR4G2P2;S6PRRRRR4;1;1;1;1;1;1
P6PRRRRR4G2P3;S6PRRRRR4;1;1;1;1;1;1
P6PRRRRR4G2P4;S6PRRRRR4;1;1;1;1;1;1
P6PRRRRR4G2P5;S6PRRRRR4;1;1;1;1;1;1
