Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Aktuierung Bein 5;;;;;Rangverlust Plattform-FG;Wertebereich theta2
P5RPRRR4G2P8A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;3;a
P5RPRRR4G9P8A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;3;a
