Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich theta2
P3RPRRR5G1P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P3RPRRR5G1P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P3RPRRR5G2P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P3RPRRR5G2P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P3RPRRR5G3P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P3RPRRR5G3P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P3RPRRR5G4P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P3RPRRR5G4P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
