Name;Aktuierung Bein 1;;Aktuierung Bein 2;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P2PP1G1P1A1;1;0;1;0;1;
P2PP1G1P1A2;0;1;0;1;1;
