Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich alpha2,theta4
P3RRRPR12G1P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;pa
P3RRRPR12G2P2A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;pa
P3RRRPR12G3P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;pa
