Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Rangverlust Plattform-FG;Wertebereich Winkel1
P4PRRRR2G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;
P4PRRRR2G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;
P4PRRRR2G1P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;
P4PRRRR2G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P4PRRRR2G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P4PRRRR2G9P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
