Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Rangverlust Plattform-FG;Wertebereich theta1,alpha2,alpha3
P4PRRRR10G10P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;ppa
P4PRRRR10G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;ppa
