Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Aktuierung Bein 5;;;;;Rangverlust Plattform-FG;Wertebereich theta1
P5PRRRR4V1G10P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;a
P5PRRRR4V1G1P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;a
P5PRRRR4V1G9P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;a
