Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich theta3
P3RRPRR8G1P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR8G2P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR8G3P3A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
