Name;Aktuierung Bein 1;;;;Aktuierung Bein 2;;;;Aktuierung Bein 3;;;;Rangverlust Plattform-FG;Wertebereich theta2
P3RPRR1G1P1A1;0;1;0;0;0;1;0;0;0;1;0;0;2;a
P3RPRR1G2P2A1;0;1;0;0;0;1;0;0;0;1;0;0;1;a
P3RPRR1G2P3A1;0;1;0;0;0;1;0;0;0;1;0;0;1;o
P3RPRR1G2P7A1;0;1;0;0;0;1;0;0;0;1;0;0;1;a
P3RPRR1G3P3A1;0;1;0;0;0;1;0;0;0;1;0;0;1;a
P3RPRR1G3P7A1;0;1;0;0;0;1;0;0;0;1;0;0;1;a
P3RPRR1G4P7A1;0;1;0;0;0;1;0;0;0;1;0;0;0;a
